,DATETIME,DATE,TIME,PEAK_OFFPEAK,HOKKAIDO,TOHOKU,TOKYO,CHUBU,HOKURIKU,KANSAI,CHUGOKU,SHIKOKU,KYUSHU,AMOUNT_OF_BIDS_SOLD_(KWH),AMOUNT_OF_BIDS_PURCHASED_(KWH),TOTAL_CONTRACTED_QUANTITY_(KWH)
4409,2023-04-02 20:30:00,2023-04-02,20:30:00,offpeak,14.23,14.23,14.23,14.23,9.39,9.39,9.39,9.39,9.39,22729950.0,15891100.0,13230250.0
4410,2023-04-02 21:00:00,2023-04-02,21:00:00,offpeak,14.22,14.22,14.22,14.22,9.54,9.54,9.54,9.54,9.54,22609400.0,15781950.0,13121250.0
4411,2023-04-02 21:30:00,2023-04-02,21:30:00,offpeak,14.22,14.22,14.22,10.66,9.39,9.39,9.39,9.39,9.39,22657200.0,15715050.0,13108900.0
4412,2023-04-02 22:00:00,2023-04-02,22:00:00,offpeak,14.21,14.21,14.21,10.55,9.62,9.62,9.62,9.62,9.62,22253400.0,15708250.0,12803400.0
4413,2023-04-02 22:30:00,2023-04-02,22:30:00,offpeak,13.5,13.5,13.5,9.8,9.8,9.8,9.8,9.8,9.8,21987850.0,15556300.0,12710600.0
4414,2023-04-02 23:00:00,2023-04-02,23:00:00,offpeak,13.59,13.59,13.59,9.39,9.39,9.39,9.39,9.39,9.39,21328450.0,14941950.0,12318550.0
4415,2023-04-02 23:30:00,2023-04-02,23:30:00,offpeak,12.74,12.74,12.74,9.19,9.19,9.19,9.19,9.19,9.19,20407600.0,14596250.0,12252100.0
4416,2023-04-03 00:00:00,2023-04-03,00:00:00,offpeak,10.99,10.99,10.99,10.99,10.8,10.8,10.8,10.8,10.8,16125550.0,15615150.0,12580250.0
4417,2023-04-03 00:30:00,2023-04-03,00:30:00,offpeak,11.02,11.02,11.02,11.02,10.17,10.17,10.17,10.17,10.17,17950100.0,15770450.0,12827250.0
4418,2023-04-03 01:00:00,2023-04-03,01:00:00,offpeak,10.94,10.94,10.94,10.94,10.17,10.17,10.17,10.17,10.17,18772450.0,15616850.0,12788850.0
4419,2023-04-03 01:30:00,2023-04-03,01:30:00,offpeak,10.67,10.67,10.67,10.67,10.47,10.47,10.47,10.47,10.47,19015900.0,15481700.0,12775050.0
4420,2023-04-03 02:00:00,2023-04-03,02:00:00,offpeak,10.6,10.6,10.6,10.6,10.0,10.0,10.0,10.0,10.0,19345050.0,15535600.0,12685350.0
4421,2023-04-03 02:30:00,2023-04-03,02:30:00,offpeak,10.67,10.67,10.67,10.67,10.17,10.17,10.17,10.17,10.17,19500950.0,15702800.0,12752600.0
4422,2023-04-03 03:00:00,2023-04-03,03:00:00,offpeak,10.5,10.5,10.5,10.5,10.0,10.0,10.0,10.0,10.0,19614950.0,15872250.0,13123100.0
4423,2023-04-03 03:30:00,2023-04-03,03:30:00,offpeak,10.46,10.46,10.46,10.46,10.13,10.13,10.13,10.13,10.13,19441050.0,15982800.0,13283950.0
4424,2023-04-03 04:00:00,2023-04-03,04:00:00,offpeak,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,19241350.0,16145500.0,13160600.0
4425,2023-04-03 04:30:00,2023-04-03,04:30:00,offpeak,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,18940050.0,16166500.0,13079200.0
4426,2023-04-03 05:00:00,2023-04-03,05:00:00,offpeak,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,18453350.0,15909750.0,12638150.0
4427,2023-04-03 05:30:00,2023-04-03,05:30:00,offpeak,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,18009500.0,15519800.0,12256900.0
4428,2023-04-03 06:00:00,2023-04-03,06:00:00,offpeak,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,17118600.0,14600250.0,11540550.0
4429,2023-04-03 06:30:00,2023-04-03,06:30:00,offpeak,10.65,10.65,10.65,10.65,10.15,10.15,10.15,10.15,10.15,18323750.0,15070400.0,12149850.0
4430,2023-04-03 07:00:00,2023-04-03,07:00:00,offpeak,10.47,10.47,10.47,10.47,9.81,9.81,9.81,9.81,6.0,20264450.0,14748350.0,12701150.0
4431,2023-04-03 07:30:00,2023-04-03,07:30:00,offpeak,10.04,10.04,10.04,6.0,6.0,6.0,6.0,6.0,0.01,21556750.0,14162500.0,12995050.0
4432,2023-04-03 08:00:00,2023-04-03,08:00:00,peak,13.99,13.99,13.99,1.0,1.0,1.0,1.0,1.0,1.0,25142400.0,15924550.0,14211100.0
4433,2023-04-03 08:30:00,2023-04-03,08:30:00,peak,11.15,11.15,11.15,0.01,0.01,0.01,0.01,0.01,0.01,27308200.0,16523150.0,14873900.0
4434,2023-04-03 09:00:00,2023-04-03,09:00:00,peak,13.91,13.91,13.91,0.01,0.01,0.01,0.01,0.01,0.01,28315450.0,17084300.0,15423450.0
4435,2023-04-03 09:30:00,2023-04-03,09:30:00,peak,10.51,10.51,10.51,0.21,0.21,0.21,0.21,0.21,0.01,30139900.0,17818050.0,16532550.0
4436,2023-04-03 10:00:00,2023-04-03,10:00:00,peak,5.0,5.0,9.59,0.02,0.02,0.02,0.02,0.02,0.01,31692200.0,17655400.0,16820800.0
4437,2023-04-03 10:30:00,2023-04-03,10:30:00,peak,4.65,4.65,5.0,0.01,0.01,0.01,0.01,0.01,0.01,32681150.0,16902750.0,16711000.0
4438,2023-04-03 11:00:00,2023-04-03,11:00:00,peak,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,33109950.0,16359300.0,16359200.0
4439,2023-04-03 11:30:00,2023-04-03,11:30:00,peak,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,33601450.0,16042650.0,16040050.0
4440,2023-04-03 12:00:00,2023-04-03,12:00:00,peak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,34322450.0,15145400.0,15145400.0
4441,2023-04-03 12:30:00,2023-04-03,12:30:00,peak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,34177900.0,14876600.0,14876600.0
4442,2023-04-03 13:00:00,2023-04-03,13:00:00,peak,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,32874500.0,15836650.0,15778500.0
4443,2023-04-03 13:30:00,2023-04-03,13:30:00,peak,4.65,4.65,4.65,0.01,0.01,0.01,0.01,0.01,0.01,31687800.0,15914700.0,15742700.0
4444,2023-04-03 14:00:00,2023-04-03,14:00:00,peak,9.86,9.86,9.86,0.01,0.01,0.01,0.01,0.01,0.01,30686600.0,16756500.0,15790800.0
4445,2023-04-03 14:30:00,2023-04-03,14:30:00,peak,10.61,10.61,10.61,0.02,0.02,0.02,0.02,0.02,0.01,29074950.0,16672350.0,15458600.0
4446,2023-04-03 15:00:00,2023-04-03,15:00:00,peak,13.12,13.12,13.12,3.0,3.0,3.0,3.0,3.0,0.01,26716250.0,16739550.0,15020450.0
4447,2023-04-03 15:30:00,2023-04-03,15:30:00,peak,13.92,13.92,13.92,8.96,8.96,8.96,8.96,8.96,0.01,23400050.0,16352850.0,14255500.0
4448,2023-04-03 16:00:00,2023-04-03,16:00:00,peak,10.66,10.66,10.66,1.62,1.62,1.62,1.62,1.62,1.62,21056100.0,14102650.0,13086000.0
4449,2023-04-03 16:30:00,2023-04-03,16:30:00,peak,11.1,11.1,11.1,11.1,8.82,8.82,8.82,8.82,8.82,19454550.0,14148700.0,12535150.0
4450,2023-04-03 17:00:00,2023-04-03,17:00:00,peak,13.86,13.86,13.86,13.86,9.65,9.65,9.65,9.65,9.65,18303350.0,14468300.0,12258400.0
4451,2023-04-03 17:30:00,2023-04-03,17:30:00,peak,14.66,14.66,14.66,14.66,11.09,11.09,11.09,11.09,11.09,16653750.0,15303650.0,12245650.0
4452,2023-04-03 18:00:00,2023-04-03,18:00:00,peak,15.0,15.0,15.0,15.0,11.02,11.02,11.02,11.02,11.02,17055250.0,17087850.0,13602150.0
4453,2023-04-03 18:30:00,2023-04-03,18:30:00,peak,15.1,15.1,15.1,15.1,14.0,14.0,14.0,14.0,14.0,17092400.0,17530400.0,13880800.0
4454,2023-04-03 19:00:00,2023-04-03,19:00:00,peak,14.99,14.99,14.99,14.99,13.11,13.11,13.11,13.11,13.11,17253600.0,17469450.0,13898350.0
4455,2023-04-03 19:30:00,2023-04-03,19:30:00,peak,14.72,14.72,14.72,14.72,13.48,13.48,13.48,13.48,13.48,17899300.0,17540400.0,13987950.0
4456,2023-04-03 20:00:00,2023-04-03,20:00:00,offpeak,14.65,14.65,14.65,14.65,13.28,13.28,13.28,13.28,13.28,17614750.0,17142050.0,13513800.0
4457,2023-04-03 20:30:00,2023-04-03,20:30:00,offpeak,14.38,14.38,14.38,14.38,13.09,13.09,13.09,13.09,13.09,17974350.0,17119050.0,13491350.0
4458,2023-04-03 21:00:00,2023-04-03,21:00:00,offpeak,14.38,14.38,14.38,14.38,13.14,13.14,13.14,13.14,13.14,18192750.0,16914950.0,13387750.0
