DATE,DAY_OF_THE_WEEK,TTS,TTB,TTM
2022-10-26 00:00:00,Wednesday,149.23,147.23,148.23
2022-10-27 00:00:00,Thursday,147.09,145.09,146.09
2022-10-28 00:00:00,Friday,147.67,145.67,146.67
2022-10-29 00:00:00,Saturday,,,
2022-10-30 00:00:00,Sunday,,,
2022-10-31 00:00:00,Monday,149.26,147.26,148.26
2022-11-01 00:00:00,Thuesday,149.77,147.77,148.77
2022-11-02 00:00:00,Wednesday,148.62,146.62,147.62
2022-11-03 00:00:00,Thursday,,,
2022-11-04 00:00:00,Friday,149.34,147.34,148.34
2022-11-05 00:00:00,Saturday,,,
2022-11-06 00:00:00,Sunday,,,
2022-11-07 00:00:00,Monday,148.04,146.04,147.04
2022-11-08 00:00:00,Thuesday,147.55,145.55,146.55
2022-11-09 00:00:00,Wednesday,146.81,144.81,145.81
2022-11-10 00:00:00,Thursday,147.41,145.41,146.41
2022-11-11 00:00:00,Friday,142.87,140.87,141.87
2022-11-12 00:00:00,Saturday,,,
2022-11-13 00:00:00,Sunday,,,
2022-11-14 00:00:00,Monday,140.6,138.6,139.6
2022-11-15 00:00:00,Thuesday,141.41,139.41,140.41
2022-11-16 00:00:00,Wednesday,140.57,138.57,139.57
2022-11-17 00:00:00,Thursday,140.52,138.52,139.52
2022-11-18 00:00:00,Friday,141.29,139.29,140.29
2022-11-19 00:00:00,Saturday,,,
2022-11-20 00:00:00,Sunday,,,
2022-11-21 00:00:00,Monday,141.36,139.36,140.36
2022-11-22 00:00:00,Thuesday,143.1,141.1,142.1
2022-11-23 00:00:00,Wednesday,,,
2022-11-24 00:00:00,Thursday,140.26,138.26,139.26
2022-11-25 00:00:00,Friday,140.11,138.11,139.11
2022-11-26 00:00:00,Saturday,,,
2022-11-27 00:00:00,Sunday,,,
2022-11-28 00:00:00,Monday,140.1,138.1,139.1
2022-11-29 00:00:00,Thuesday,139.91,137.91,138.91
2022-11-30 00:00:00,Wednesday,139.87,137.87,138.87
2022-12-01 00:00:00,Thursday,138.09,136.09,137.09
2022-12-02 00:00:00,Friday,136.6,134.6,135.6
2022-12-03 00:00:00,Saturday,,,
2022-12-04 00:00:00,Sunday,,,
2022-12-05 00:00:00,Monday,135.73,133.73,134.73
2022-12-06 00:00:00,Thuesday,137.55,135.55,136.55
2022-12-07 00:00:00,Wednesday,138.31,136.31,137.31
2022-12-08 00:00:00,Thursday,137.57,135.57,136.57
2022-12-09 00:00:00,Friday,137.95,135.95,136.95
2022-12-10 00:00:00,Saturday,,,
2022-12-11 00:00:00,Sunday,,,
2022-12-12 00:00:00,Monday,137.76,135.76,136.76
2022-12-13 00:00:00,Thuesday,138.83,136.83,137.83
2022-12-14 00:00:00,Wednesday,136.49,134.49,135.49
2022-12-15 00:00:00,Thursday,136.48,134.48,135.48
2022-12-16 00:00:00,Friday,138.73,136.73,137.73
2022-12-17 00:00:00,Saturday,,,
2022-12-18 00:00:00,Sunday,,,
2022-12-19 00:00:00,Monday,137.22,135.22,136.22
